t,series_1,series_2,series_3,series_4,series_5,series_6,series_7,series_8,series_9,series_10,series_11,series_12,series_13,series_14,series_15
0,0.3822596655435482,0.7308262172213399,0.8652206632395435,0.8248248955560916,0.8045037869755595,0.8584830681201817,0.8180974285432923,0.547753915459267,0.15275164085165463,-0.16983336390279624,-0.4010226207169475,-0.6755865506564513,-1.0070827553043449,-1.1968693348748818,-1.083639633752123
1,0.8841219630290647,1.0979362411836213,1.0272865246917013,0.814594112252147,0.659038305045651,0.5480472331924809,0.3181821136594285,-0.058323649010362105,-0.4036096824093614,-0.5847280574571155,-0.6942825793192123,-0.8784703410349394,-1.0744362003404753,-1.0648838505556633,-0.7784515479169977
2,2.33060813508692,1.1861166998418977,1.510543113562944,-2.0205960534077776,0.9232480907806657,-1.0412776992288215,0.33997704990756167,-0.8851850728792356,-0.6159518534969468,-0.3145089136031193,0.4925797214208918,-0.10463032396952643,-1.4413356229597476,-2.4649476887534885,0.0870190026206713
3,0.9189528522198278,2.7915542566465654,0.3891107758233278,-2.3516172291127164,0.9699118643910414,0.20126114792411648,-0.3053054836070065,-2.380721218390463,-0.0901724384195478,0.17302641902482685,1.4741144285651842,-1.3640132500087625,-0.14167564769086277,-0.9069880798808198,1.5059463148306167
4,-0.5093396417417525,1.380084124529672,-0.6911564998935203,-3.5560780662762936,0.9719605972460919,1.7676985619168686,-1.6843481715668671,-3.5758720028251663,-1.2786649943520203,-0.4467207203672576,1.2743969510395716,0.7342203369886904,1.7481099041785038,-0.5606486306664177,2.5771738320071345
5,0.07040765195954526,0.16420642705899685,-1.7522379530374157,-3.7167140211412137,2.034735896886394,2.5622321648379907,-2.0015811684528204,-4.952532044454408,-3.661785407037386,-1.2157038533971463,0.5485513158614467,1.7292207182493244,4.156354427041803,-3.089703971637136,4.19216493438562
6,-2.356760331095657,0.28549044282014024,-2.450159822608404,-4.518838301629655,5.32210800526106,3.772601182355952,-3.025551748905513,-6.5123396936684825,-5.4610379074452675,-0.3657898537212879,2.954697044179627,2.7125242787990964,4.444981877373729,-5.300384589295964,4.492296764582662
7,-5.384347698071601,0.858158099143356,-3.203376439714507,-6.987357893591628,6.800489751114312,4.556751543992723,-4.133434519843271,-9.465365180982026,-6.510740612520319,-1.2009872688022338,4.5601617185619014,3.5824463916924207,6.811350465525171,-8.660835548018085,3.1214082475755416
8,-5.703057402937705,0.028004565634310197,-3.732060836215847,-9.829857443242256,8.985881254341322,6.7895015339390605,-4.586931695537989,-11.731765316847603,-8.810192881449474,-3.447414683311867,6.283634794894848,4.343866491752904,8.623465008098028,-12.61287809871676,3.6415554186302144
9,-8.079320212384607,0.3166286354378445,-6.079032409185405,-11.143900035171526,14.188243960264304,9.81256525307241,-5.999114846692404,-15.015358243107144,-12.155261598049577,-5.180677820359946,8.881628927626622,7.945589662802558,11.860060067556663,-18.73927221559364,4.8347643958344735
10,-11.681399157949494,1.151916261713727,-7.743528037555271,-12.964045912089153,21.65191955239661,13.758854826126194,-8.80374375681196,-21.244433664444998,-17.978791756933703,-8.124391123141933,10.968813287358234,11.156748146034879,16.42494360337989,-27.05201301913025,5.100521101140044
