t,series_1,series_2,series_3,series_4,series_5,series_6,series_7,series_8,series_9,series_10,series_11,series_12,series_13,series_14,series_15
0,0.24882167402563501,0.49564747129464404,0.5885471785139705,0.5544870270143929,0.5993988986807999,0.8539112363033051,1.1796779098825003,1.2962545192243535,1.094249814026334,0.7608943279445158,0.5659498580642743,0.5667326056140952,0.580480376984952,0.4345406678404223,0.168650595633129
1,0.8294381194331556,1.0152019267732189,0.9392996611937606,0.7490829757700737,0.7117000590593123,0.9060699995578977,1.1237886405385942,1.1035814616514663,0.8196028295770575,0.48454779282973814,0.2841520202561283,0.18156737094209535,0.020270706944678633,-0.23480851252212165,-0.4453374960167928
2,0.6487944937684983,0.32227630690874,1.2888322718441168,-0.6717817156575697,0.7083500637634452,-0.09643066356422203,-1.6450670225186976,-0.2722910963377414,-0.5728415329329364,-0.46042415895790634,-0.4874802458107904,-1.6877105806893387,-2.1935777559851966,-2.195752285605904,0.5757395277723341
3,2.034566639133079,0.15531009154664277,1.2537036782541724,-2.4508488094503917,-1.2305534749946077,0.2539150157792438,-4.896421197868567,0.34971349211676367,-0.377666905338504,-2.547383011833961,-2.5151370642758346,-2.9273601085879446,-5.347460400521917,-2.3594602872460957,0.32401265478265007
4,2.8069011878768926,1.346285144114283,0.6165051724331397,-1.249661416512485,-2.440956173661049,-0.6303417700738443,-7.811868562883444,0.7547192661656155,0.5285515257095432,-3.8038354346288523,-3.0824204151207524,-2.302348071430318,-6.425127738460655,-1.8122338091880223,0.021726895456235074
5,1.5897462226442798,0.9552284231295167,-1.3967523668046,0.36085262374106175,-2.961417947727689,-0.13645485241349065,-7.671592502123935,0.642027496347557,-0.4288586454464143,-4.712024259989054,-2.4364595214253506,-2.2301962613346817,-7.2569929771335255,-1.5863529622562123,-0.6177875590939648
6,0.12771700290497268,-0.06961186576942574,-3.2659613468135316,1.2058389365471816,-2.8149504485022208,-1.4809571229626792,-5.281982899895552,0.1371966813998251,-0.7768256645899453,-5.221046203064168,-0.5015603867479055,-0.727300308758027,-6.2754680496209385,-0.6698120797826115,-0.0895152071882781
7,-1.568662529165937,-2.1073991134592465,-4.507862340587016,2.641004881175768,-1.1871028830935233,-0.8891857773463842,-0.9608450886933662,0.7137190422485971,-0.14467361977749804,-5.924586772825956,0.9025476483075578,1.4626047851529795,-4.000343286503787,2.0900068935640617,0.18854757580908565
8,-3.0931954000928736,-2.459197337087144,-3.41004524392672,2.1704403490994837,0.44821019068716594,-0.30294281296463044,2.475644714057272,1.2839814226796906,0.9506195264081811,-6.1283265050491575,0.5677981633709654,4.151234154207892,-2.7810873132592224,4.131242018172234,-0.8498702183857929
9,-2.6461329908093676,-2.528763451396677,-3.3596925218607576,3.307958490798871,2.1674032033464363,-0.743480169725954,2.777314520915702,2.121877700440126,0.6426886368781363,-5.1677006239652385,-0.4749624073400958,5.8051112996823955,-1.5037549417386558,5.044739417476051,-0.22049940139782143
